"AI DOCUMENT SERVICES, INC.",10-K,1402536,2009-03-26,edgar/data/1402536/0001078782-09-000408.txt
AIMCO PROPERTIES LP,10-K,926660,2009-02-27,edgar/data/926660/0001362310-09-002979.txt
AIR METHODS CORP,10-K,816159,2009-03-12,edgar/data/816159/0001140361-09-006768.txt
AIRSPAN NETWORKS INC,10-K,1105542,2009-03-31,edgar/data/1105542/0001144204-09-017967.txt
AIRTRAN HOLDINGS INC,10-K,948846,2009-02-13,edgar/data/948846/0000948846-09-000005.txt
AIRVANA INC,10-K,1116435,2009-02-24,edgar/data/1116435/0000950135-09-001134.txt
AIS FUTURES FUND IV LP,10-K,1023453,2009-03-31,edgar/data/1023453/0000905148-09-001431.txt
AJS BANCORP INC,10-K,1144515,2009-03-23,edgar/data/1144515/0000914317-09-000709.txt
AK STEEL HOLDING CORP,10-K,918160,2009-02-24,edgar/data/918160/0000918160-09-000013.txt
AKAMAI TECHNOLOGIES INC,10-K,1086222,2009-03-02,edgar/data/1086222/0001193125-09-042423.txt
AKORN INC,10-K,3116,2009-03-30,edgar/data/3116/0000950137-09-002342.txt
"ALABAMA AIRCRAFT INDUSTRIES, INC",10-K,771729,2009-03-31,edgar/data/771729/0001193125-09-069386.txt
ALABAMA GAS CORP,10-K,3146,2009-02-25,edgar/data/3146/0001193125-09-037514.txt
ALABAMA POWER CO,10-K,3153,2009-02-25,edgar/data/3153/0000092122-09-000011.txt
ALAMO GROUP INC,10-K,897077,2009-03-11,edgar/data/897077/0001003297-09-000068.txt
ALANCO TECHNOLOGIES INC,10KSB/A,98618,2009-02-26,edgar/data/98618/0000098618-09-000010.txt
ALASKA AIR GROUP INC,10-K,766421,2009-02-19,edgar/data/766421/0001193125-09-033073.txt
ALASKA AIRLINES INC,10-K,3202,2009-02-26,edgar/data/3202/0001193125-09-039009.txt
ALASKA COMMUNICATIONS SYSTEMS GROUP INC,10-K,1089511,2009-03-09,edgar/data/1089511/0000950134-09-004818.txt
ALASKA PACIFIC BANCSHARES INC,10-K,1081860,2009-03-30,edgar/data/1081860/0001081860-09-000008.txt
ALBANY INTERNATIONAL CORP /DE/,10-K,819793,2009-03-02,edgar/data/819793/0001145443-09-000304.txt
ALBANY MOLECULAR RESEARCH INC,10-K,1065087,2009-03-13,edgar/data/1065087/0001144204-09-013803.txt
ALBEMARLE CORP,10-K,915913,2009-02-27,edgar/data/915913/0001193125-09-040740.txt
"ALCO, INC.",10-K,734543,2009-03-27,edgar/data/734543/0001137050-09-000071.txt
ALCOA INC,10-K,4281,2009-02-17,edgar/data/4281/0001193125-09-029469.txt
ALDILA INC,10-K,902272,2009-03-16,edgar/data/902272/0001047469-09-002773.txt
ALESCO FINANCIAL INC,10-K,1270436,2009-03-05,edgar/data/1270436/0001193125-09-046342.txt
ALEXANDER & BALDWIN INC,10-K,3453,2009-02-27,edgar/data/3453/0000003453-09-000012.txt
ALEXANDERS INC,10-K,3499,2009-02-23,edgar/data/3499/0000003499-09-000002.txt
ALEXANDERS J CORP,10-K,103884,2009-03-30,edgar/data/103884/0000950144-09-002716.txt
ALEXANDRIA REAL ESTATE EQUITIES INC,10-K,1035443,2009-02-17,edgar/data/1035443/0001104659-09-009784.txt
ALEXION PHARMACEUTICALS INC,10-K,899866,2009-02-23,edgar/data/899866/0001193125-09-035223.txt
ALIGN TECHNOLOGY INC,10-K,1097149,2009-02-27,edgar/data/1097149/0001047469-09-001977.txt
ALL AMERICAN SPORTPARK INC,10-K,930245,2009-03-31,edgar/data/930245/0001263279-09-000037.txt
ALLEGHANY CORP /DE,10-K,775368,2009-02-27,edgar/data/775368/0000950123-09-003629.txt
ALLEGHANY CORP /DE,10-K/A,775368,2009-03-11,edgar/data/775368/0000950123-09-004455.txt
ALLEGHENY BANCSHARES INC,10-K,1213662,2009-03-27,edgar/data/1213662/0000950152-09-003168.txt
"ALLEGHENY ENERGY, INC",10-K,3673,2009-03-02,edgar/data/3673/0001193125-09-041324.txt
ALLEGHENY TECHNOLOGIES INC,10-K,1018963,2009-02-23,edgar/data/1018963/0000950152-09-001663.txt
ALLEGRO BIODIESEL CORP,10-K,895380,2009-03-30,edgar/data/895380/0001019687-09-001095.txt
ALLERGAN INC,10-K,850693,2009-02-27,edgar/data/850693/0001193125-09-040955.txt
ALLETE INC,10-K,66756,2009-02-13,edgar/data/66756/0000066756-09-000015.txt
ALLETE INC,10-K/A,66756,2009-02-26,edgar/data/66756/0000066756-09-000020.txt
ALLIANCE BANCORP INC OF PENNSYLVANIA,10-K,1373079,2009-03-23,edgar/data/1373079/0001104659-09-019232.txt
ALLIANCE DATA SYSTEMS CORP,10-K,1101215,2009-03-02,edgar/data/1101215/0001193125-09-042284.txt
ALLIANCE FIBER OPTIC PRODUCTS INC,10-K,1122342,2009-03-20,edgar/data/1122342/0001122342-09-000004.txt
ALLIANCE FINANCIAL CORP /NY/,10-K,796317,2009-03-13,edgar/data/796317/0001193125-09-053580.txt
ALLIANCE LAUNDRY CORP,10-K,1063697,2009-03-10,edgar/data/1063697/0001193125-09-048716.txt
ALLIANCE LAUNDRY HOLDINGS LLC,10-K,1063698,2009-03-10,edgar/data/1063698/0001193125-09-048716.txt
ALLIANCE LAUNDRY SYSTEMS LLC,10-K,1063699,2009-03-10,edgar/data/1063699/0001193125-09-048716.txt
ALLIANCE RESOURCE PARTNERS LP,10-K,1086600,2009-03-02,edgar/data/1086600/0001193125-09-042393.txt
ALLIANCEBERNSTEIN HOLDING L.P.,10-K,825313,2009-02-23,edgar/data/825313/0001140361-09-004725.txt
ALLIANCEBERNSTEIN L.P.,10-K,1109448,2009-02-23,edgar/data/1109448/0001140361-09-004728.txt
ALLIANT ENERGY CORP,10-K,352541,2009-02-27,edgar/data/352541/0000107832-09-000001.txt
ALLIED CAPITAL CORP,10-K,3906,2009-03-02,edgar/data/3906/0000950133-09-000538.txt
ALLIED DEFENSE GROUP INC,10-K,3952,2009-03-31,edgar/data/3952/0000950133-09-000974.txt
ALLIED MOTION TECHNOLOGIES INC,10-K,46129,2009-03-19,edgar/data/46129/0001047469-09-002915.txt
ALLIED RESOURCES INC,10-K,1211524,2009-03-31,edgar/data/1211524/0001211524-09-000053.txt
ALLIED WORLD ASSURANCE CO HOLDINGS LTD,10-K,1163348,2009-02-27,edgar/data/1163348/0000950123-09-003689.txt
ALLION HEALTHCARE INC,10-K,847935,2009-03-09,edgar/data/847935/0000950144-09-001991.txt
ALLOS THERAPEUTICS INC,10-K,1097264,2009-03-03,edgar/data/1097264/0001047469-09-002191.txt
ALLSTATE CORP,10-K,899051,2009-02-26,edgar/data/899051/0001047469-09-001878.txt
ALLSTATE LIFE GLOBAL FUNDING,10-K,1176267,2009-03-31,edgar/data/1176267/0000839759-09-000122.txt
ALLSTATE LIFE GLOBAL FUNDING,10-K,1176267,2009-03-31,edgar/data/1176267/0000839759-09-000124.txt
ALLSTATE LIFE GLOBAL FUNDING,10-K,1176267,2009-03-31,edgar/data/1176267/0000839759-09-000126.txt
ALLSTATE LIFE GLOBAL FUNDING,10-K,1176267,2009-03-31,edgar/data/1176267/0000839759-09-000128.txt
ALLSTATE LIFE GLOBAL FUNDING,10-K,1176267,2009-03-31,edgar/data/1176267/0000839759-09-000130.txt
ALLSTATE LIFE INSURANCE CO,10-K,352736,2009-03-19,edgar/data/352736/0001047469-09-002873.txt
ALLSTATE LIFE INSURANCE CO OF NEW YORK,10-K,839759,2009-03-18,edgar/data/839759/0001047469-09-002862.txt
ALMOST FAMILY INC,10-K,799231,2009-03-06,edgar/data/799231/0000799231-09-000008.txt
"ALNYLAM PHARMACEUTICALS, INC.",10-K,1178670,2009-03-02,edgar/data/1178670/0000950135-09-001458.txt
ALP LIQUIDATING TRUST,10-K,814046,2009-03-31,edgar/data/814046/0000892626-09-000046.txt
ALPHA INNOTECH CORP,10-K,830736,2009-03-27,edgar/data/830736/0000830736-09-000008.txt
ALPHA PRO TECH LTD,10-K,884269,2009-03-11,edgar/data/884269/0001104659-09-016330.txt
ALPHATRADE COM,10-K/A,1076462,2009-03-23,edgar/data/1076462/0001017386-09-000027.txt
ALPINE AIR EXPRESS INC/DE,10-K,1092807,2009-01-29,edgar/data/1092807/0001010412-09-000005.txt
ALR TECHNOLOGIES INC,10-K,1087022,2009-03-31,edgar/data/1087022/0001002014-09-000221.txt
ALSERES PHARMACEUTICALS INC /DE,10-K,94784,2009-03-31,edgar/data/94784/0000950135-09-002376.txt
ALTAIR NANOTECHNOLOGIES INC,10-K,1016546,2009-03-16,edgar/data/1016546/0001019687-09-000842.txt
ALTERA CORP,10-K,768251,2009-02-25,edgar/data/768251/0001193125-09-037481.txt
"ALTERNATE ENERGY HOLDINGS, INC.",10-K,1421874,2009-03-31,edgar/data/1421874/0001065949-09-000080.txt
"ALTRIA GROUP, INC.",10-K,764180,2009-02-27,edgar/data/764180/0001193125-09-041005.txt
"ALW Financial, Inc.",10-K,1397293,2009-03-31,edgar/data/1397293/0001104659-09-021814.txt
"AMACORE GROUP, INC.",10-K,949394,2009-03-31,edgar/data/949394/0001019687-09-001131.txt
AMAG PHARMACEUTICALS INC.,10-K,792977,2009-02-27,edgar/data/792977/0001047469-09-001933.txt
AMARILLO BIOSCIENCES INC,10-K,1014763,2009-03-31,edgar/data/1014763/0001014763-09-000008.txt
AMARU INC,10-K,1139822,2009-03-31,edgar/data/1139822/0001019687-09-001152.txt
AMAZON COM INC,10-K,1018724,2009-01-30,edgar/data/1018724/0001193125-09-014406.txt
AMB PROPERTY CORP,10-K,1045609,2009-03-02,edgar/data/1045609/0000950134-09-004079.txt
AMB PROPERTY LP,10-K,1045610,2009-03-12,edgar/data/1045610/0000950134-09-005082.txt
AMBAC FINANCIAL GROUP INC,10-K,874501,2009-03-16,edgar/data/874501/0001193125-09-054939.txt
AMBASE CORP,10-K,20639,2009-03-27,edgar/data/20639/0000020639-09-000004.txt
AMBASSADORS GROUP INC,10-K,1162315,2009-03-12,edgar/data/1162315/0001162315-09-000012.txt
AMBIENT CORP /NY,10-K,1047919,2009-03-11,edgar/data/1047919/0001116502-09-000371.txt
